question,candidates,llm_final_match
What is the turnover rate for permanent workers for the Current Year,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Turnover Rate - Female Member - Permanent Workers Member - Previous Year', 'Turnover Rate - Male Member - Permanent Workers Member - Previous Year', 'Retention Rates Permanent Workers That Took Parental Leave - Male Member', 'Retention Rates Permanent Workers That Took Parental Leave - Gender Member']",
What is the waste intensity adjusted for Purchasing Power Parity for Current Year?,"['Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Whether Company Has Published Sustainability Report For The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity', 'Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year', 'Whether There Is Any Change In Functional Currency During The Year']",
What is the waste intensity adjusted for Purchasing Power Parity for the current year?,"['Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Whether Company Has Published Sustainability Report For The Financial Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Scope1 And Scope2 Emissions Intensity Per Rupee Of Turnover Adjusted For Purchasing Power Parity', 'Waste Intensity The Relevant Metric May Be Selected By The Entity', 'Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year']",
What is the waste recycled/recovered intensity for the current year?,"['Number Of Employees In The Company At The End Of The Financial Year', 'Waste Recovered Through Recycled - Previous Year', 'Whether There Is Any Change In Functional Currency During The Year', 'Amount Of Recycled - Hazardous Waste Member', 'Waste Recovered Through Recycled']",
What is the water intensity per rupee of turnover adjusted for Purchasing Power Parity in crores Current Year (in kilolitres) - PPP?,"['Waste Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year', 'Cost Water Charges', 'Water Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Whether There Is Any Change In Functional Currency During The Year']",
What is the water intensity per rupee of turnover in crores for the Current Year? (in kilolitres),"['Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer', 'Number Of Employees In The Company At The End Of The Financial Year', 'Water Intensity Per Rupee Of Turnover', 'Water Intensity Per Rupee Of Turnover - Previous Year', 'Whether There Is Any Change In Functional Currency During The Year']",
What measures are in palce to ensure public sagety and security at facilities?,"['Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Assurance Sub Type For Measures Taken By The Entity To Ensure ASafe And Healthy Work Place', 'Safety Security Expenses']",
What measures are taken to reduce marine pollution and manage ballast water,"['Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place', 'Whether Any Steps Are Being Taken By The Entity If The Premises Or Offices Of The Entity Not Accessible To Differently Abled Employees And Workers Explanatory Text Block', 'Cost Water Charges', 'Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are', 'Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres']",
"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?","['Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'What Percentage Of Total Procurement By Value Does It Constitute', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities,"['Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'Steps Taken Or Impact On Conservation Of Energy Explanatory']",
What was the Total Scope 1 and 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,"['Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity', 'unit Denominator', 'unit Numerator', 'Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output - Previous Year', 'Total Scope1 And Scope2 Emissions Intensity In Term Of Physical Output']",
What was the total waste intensity (current year) (Unit: Metric Tonne) - Physical Output?,"['Waste Intensity In Term Of Physical Output', 'Waste Intensity In Term Of Physical Output - Previous Year', 'unit Denominator', 'unit Numerator', 'Energy Intensity In Term Of Physical Output']",
"When the onboarding of new vendors takes place, does the company have their supplier code of conduct designed","['Number Of Employees In The Company At The End Of The Financial Year', 'Name Of The Company Or LLPOr Firm Of Assurance Provider - Assurance Provider Domain1', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards","['Whether There Is Any Change In Functional Currency During The Year', 'Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards', 'Assurer Has Assured Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted', 'Whether Provisions Of Corporate Social Responsibility Are Applicable On Company']",
Whether an occupational health and safety management system is implemented by the entity,"['Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period', 'Whether An Occupational Health And Safety Management System Has Been Implemented By The Entity', 'Whether Health And Safety Management System Is Assured By Assurer', 'Safety Security Expenses']",
Whether there are mechanisms to receive and redress grievances of the community,"['Describe The Mechanisms To Receive And Redress Grievances Of The Community Explanatory Text Block', 'Whether There Are Changes In Acounting Estimates During The Year', 'Whether Describe The Mechanisms To Receive And Redress Grievances Of The Community Is Assured By Assurer', 'Whether There Are Reclassifications To Comparative Amounts']",
does the company have a policy on ingredient safety? is there any mention of use of paraben in the products,"['Number Of Employees In The Company At The End Of The Financial Year', 'The Entity Is Not At AStage Where It Is In APosition To Formulate And Implement The Policies On Specified Principles - Principle7 Member', 'The Entity Is Not At AStage Where It Is In APosition To Formulate And Implement The Policies On Specified Principles - Principle5 Member', 'Whether There Is Any Voluntary Change In Accounting Policy', 'Whether There Is Any Change In Functional Currency During The Year', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
